,heartrate
2023-03-05 12:34:00,56.0
2023-03-05 12:36:00,61.0
2023-03-05 12:38:00,66.0
2023-03-05 12:40:00,60.0
2023-03-05 12:42:00,54.0
2023-03-05 12:44:00,54.0
2023-03-05 12:46:00,54.0
2023-03-05 12:48:00,60.0
2023-03-05 12:50:00,66.0
2023-03-05 12:52:00,54.0
2023-03-05 12:54:00,53.0
2023-03-05 12:56:00,52.0
2023-03-05 12:58:00,53.0
2023-03-05 13:00:00,53.0
2023-03-05 13:02:00,55.0
2023-03-05 13:04:00,56.0
2023-03-05 13:06:00,57.0
2023-03-05 13:08:00,54.0
2023-03-05 13:10:00,54.0
2023-03-05 13:12:00,54.0
2023-03-05 13:14:00,56.0
2023-03-05 13:16:00,57.0
2023-03-05 13:18:00,56.0
2023-03-05 13:20:00,57.0
2023-03-05 13:22:00,58.0
2023-03-05 13:24:00,57.0
2023-03-05 13:26:00,60.0
2023-03-05 13:28:00,59.0
2023-03-05 13:30:00,60.0
2023-03-05 13:32:00,60.0
2023-03-05 13:34:00,57.0
2023-03-05 13:36:00,57.0
2023-03-05 13:38:00,57.0
2023-03-05 13:40:00,56.0
2023-03-05 13:42:00,56.0
2023-03-05 13:44:00,58.0
2023-03-05 13:46:00,58.0
2023-03-05 13:48:00,58.0
2023-03-05 13:50:00,59.0
2023-03-05 13:52:00,58.0
2023-03-05 13:54:00,57.0
2023-03-05 13:56:00,59.0
2023-03-05 13:58:00,60.0
2023-03-05 14:00:00,56.0
2023-03-05 14:02:00,57.0
2023-03-05 14:04:00,56.0
2023-03-05 14:06:00,58.0
2023-03-05 14:08:00,58.0
2023-03-05 14:10:00,58.0
2023-03-05 14:12:00,59.0
2023-03-05 14:14:00,57.0
2023-03-05 14:16:00,56.0
2023-03-05 14:18:00,58.0
2023-03-05 14:20:00,80.0
2023-03-05 14:22:00,60.0
2023-03-05 14:24:00,57.0
2023-03-05 14:26:00,64.0
2023-03-05 14:28:00,55.0
2023-03-05 14:30:00,53.0
2023-03-05 14:32:00,53.0
2023-03-05 14:34:00,53.0
2023-03-05 14:36:00,53.0
2023-03-05 14:38:00,54.0
2023-03-05 14:40:00,54.0
2023-03-05 14:42:00,55.0
2023-03-05 14:44:00,55.0
2023-03-05 14:46:00,54.0
2023-03-05 14:48:00,55.0
2023-03-05 14:50:00,56.0
2023-03-05 14:52:00,56.0
2023-03-05 14:54:00,58.0
2023-03-05 14:56:00,55.0
2023-03-05 14:58:00,54.0
2023-03-05 15:00:00,71.0
2023-03-05 15:02:00,87.0
2023-03-05 15:04:00,69.0
2023-03-05 15:06:00,58.0
2023-03-05 15:08:00,58.0
2023-03-05 15:10:00,60.0
2023-03-05 15:12:00,60.0
2023-03-05 15:14:00,60.0
2023-03-05 15:16:00,59.0
2023-03-05 15:18:00,63.0
2023-03-05 15:20:00,60.0
2023-03-05 15:22:00,61.0
2023-03-05 15:24:00,63.0
2023-03-05 15:26:00,68.0
2023-03-05 15:28:00,69.0
2023-03-05 15:30:00,77.0
2023-03-05 15:32:00,56.0
2023-03-05 15:34:00,55.0
2023-03-05 15:36:00,55.0
2023-03-05 15:38:00,57.0
2023-03-05 15:40:00,58.0
2023-03-05 15:42:00,53.0
2023-03-05 15:44:00,57.0
2023-03-05 15:46:00,57.0
2023-03-05 15:48:00,64.0
2023-03-05 15:50:00,67.0
2023-03-05 15:52:00,59.0
2023-03-05 15:54:00,56.0
2023-03-05 15:56:00,59.0
2023-03-05 15:58:00,73.0
2023-03-05 16:00:00,76.0
2023-03-05 16:02:00,76.0
2023-03-05 16:04:00,70.0
2023-03-05 16:06:00,64.0
2023-03-05 16:08:00,67.0
2023-03-05 16:10:00,67.0
2023-03-05 16:12:00,66.0
2023-03-05 16:14:00,62.0
2023-03-05 16:16:00,59.0
2023-03-05 16:18:00,61.0
2023-03-05 16:20:00,71.0
2023-03-05 16:22:00,65.0
2023-03-05 16:24:00,66.0
2023-03-05 16:26:00,62.0
2023-03-05 16:28:00,63.0
2023-03-05 16:30:00,60.0
2023-03-05 16:32:00,69.0
2023-03-05 16:34:00,61.0
2023-03-05 16:36:00,57.0
2023-03-05 16:38:00,58.0
2023-03-05 16:40:00,56.0
2023-03-05 16:42:00,69.0
2023-03-05 16:44:00,72.0
2023-03-05 16:46:00,72.0
2023-03-05 23:00:00,
2023-03-06 05:48:00,90.0
2023-03-06 05:50:00,95.0
2023-03-06 05:52:00,81.0
2023-03-06 05:54:00,65.0
2023-03-06 05:56:00,70.0
2023-03-06 05:58:00,72.0
2023-03-06 06:00:00,77.0
2023-03-06 06:02:00,83.0
2023-03-06 06:04:00,75.0
2023-03-06 06:06:00,71.0
2023-03-06 06:08:00,79.0
2023-03-06 06:10:00,83.0
2023-03-06 06:12:00,76.0
2023-03-06 06:14:00,59.0
2023-03-06 06:16:00,54.0
2023-03-06 06:18:00,55.0
2023-03-06 06:20:00,67.0
